carrier,plan_name,monthly_fee,perceived_price,total_benefit,monthly_benefit,benefit_duration,benefit_detail,collected_date,crawled_at
SKT,다이렉트 플랜,76000,76000,0,0,0,,2026-05-29,2026-05-29T09:34:54.686913
SKT,5G ZEM플랜,36000,33000,36000,3000,12,"혜택도 있어요!) 프로모션 혜택 5G ZEM플랜 퍼펙트 월 36,000원",2026-05-29,2026-05-29T09:34:54.687714
KT,요고 61,192000,189667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.591785
KT,요고 42,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.594269
KT,요고 32,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.596745
KT,요고 30,38000,35667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.599215
KT,요고 46,46000,43667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.601676
KT,요고 55,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.604154
KT,요고 44,44000,41667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.606614
KT,요고 49,49000,46667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.609082
KT,요고 69,384000,381667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.611547
KT,요고 36,12100,9767,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.614024
KT,요고 34,27610,25277,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.616594
KT,요고 38,4000,1667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.619092
KT,요고 40,34000,31667,28000,2333,12,"카카오페이 2,500, 카카오페이 2,000, 쿠폰팩 28,000원",2026-05-29,2026-05-29T09:34:56.621607
LG,너겟 69,69000,45000,288000,24000,12,네이버페이 등 너겟쿠폰 28만8천원,2026-05-29,2026-05-29T09:34:57.895451
LG,너겟 59,59000,39000,240000,20000,12,네이버페이 등 너겟쿠폰 24만원,2026-05-29,2026-05-29T09:34:57.895461
LG,너겟 47,47000,27000,240000,20000,12,네이버페이 등 너겟쿠폰 24만원,2026-05-29,2026-05-29T09:34:57.895465
LG,너겟 45,45000,40000,75000,5000,15,네이버페이 등 너겟쿠폰 7만5천원,2026-05-29,2026-05-29T09:34:57.895473
LG,너겟 34,34000,29000,30000,5000,6,네이버페이 등 너겟쿠폰 3만원,2026-05-29,2026-05-29T09:34:57.895476
LG,너겟 65,65000,0,3000000,250000,12,네이버페이 등 너겟쿠폰 300만원,2026-05-29,2026-05-29T09:34:57.895502
